frames,stress,condition,iteration,original_ms,noise_free_ms,noise_free_naive_ms,wait_cpu,wait_net,wait_bio
1,"cpu net","solo",1,2680.440727,2680.089263,2680.089263,0.11712,0,0
1,"cpu net","stress",1,9477.808486,2796.561163,1372.856687,2257.379908,5813.996199,0
1,"cpu net","solo",2,2678.426792,2677.913203,2677.913203,0.322094,0,0
1,"cpu net","stress",2,9395.091135,3471.851693,2897.539946,974.422114,5490.449177,0.011492
1,"cpu net","solo",3,2697.439906,2696.72463,2696.72463,0.596132,0,0
1,"cpu net","stress",3,9972.719079,3505.700772,3029.309827,820.290235,6086.781525,0.01065
1,"cpu net","solo",4,2717.176741,2716.900782,2716.900782,0.070032,0,0
1,"cpu net","stress",4,9462.717783,3559.250474,2781.83497,1352.409141,5298.167277,0.01088
1,"cpu net","solo",5,2698.957968,2698.772931,2698.772931,0.103917,0,0
1,"cpu net","stress",5,9411.39849,3402.807559,2882.23076,849.628452,5648.574968,0
2,"cpu net","solo",1,2694.36378,2694.023871,2694.023871,0.271181,0,0
2,"cpu net","stress",1,9378.17177,2889.542707,1578.576655,2139.726658,5629.73522,0
2,"cpu net","solo",2,2734.815985,2734.679384,2734.679384,0.078914,0,0
2,"cpu net","stress",2,12593.382526,1604.886709,-3051.253555,9710.46496,5892.465802,0.011401
2,"cpu net","solo",3,2702.671597,2702.482586,2702.482586,0.085867,0,0
2,"cpu net","stress",3,9588.859203,2966.485795,1612.572391,2231.711723,5714.614271,0
2,"cpu net","solo",4,2696.529452,2696.283969,2696.283969,0.188046,0,0
2,"cpu net","stress",4,9745.672864,2760.157646,1141.590882,2525.752937,6041.680747,0
2,"cpu net","solo",5,2690.576747,2690.405794,2690.405794,0.068835,0,0
2,"cpu net","stress",5,9248.844891,3165.776738,1894.589717,2183.610273,5140.864393,0.009087
3,"cpu net","solo",1,2708.976511,2708.78064,2708.78064,0.124587,0,0
3,"cpu net","stress",1,9361.908662,1600.010101,-1911.540826,5755.042619,5487.276172,0
3,"cpu net","solo",2,2715.476266,2715.335935,2715.335935,0.08548,0,0
3,"cpu net","stress",2,9389.696582,1773.210292,-1015.693743,4591.489768,5783.907945,0.01087
3,"cpu net","solo",3,2689.379829,2689.135371,2689.135371,0.178738,0,0
3,"cpu net","stress",3,9394.827196,1658.83276,-1791.84674,5686.455952,5469.035859,0
3,"cpu net","solo",4,2702.199197,2702.052585,2702.052585,0.064709,0,0
3,"cpu net","stress",4,9392.868323,1914.280987,-949.890726,4883.207264,5429.130784,0.012242
3,"cpu net","solo",5,2719.895683,2719.787584,2719.787584,0.075118,0,0
3,"cpu net","stress",5,9324.949732,1669.127804,-1368.320877,5338.045015,5325.851976,0
4,"cpu net","solo",1,2712.645325,2712.479106,2712.479106,0.111618,0,0
4,"cpu net","stress",1,9507.314902,1377.228799,-2627.511931,6680.983455,5423.020109,0.008296
4,"cpu net","solo",2,2709.999276,2709.854899,2709.854899,0.076851,0,0
4,"cpu net","stress",2,10828.16845,1604.179742,-2454.786508,7977.44669,5270.257841,0.006873
4,"cpu net","solo",3,2690.972902,2690.790241,2690.790241,0.0917,0,0
4,"cpu net","stress",3,9515.160241,1461.629586,-2458.425991,6332.431677,5610.418163,0.009157
4,"cpu net","solo",4,2667.15999,2667.03176,2667.03176,0.093415,0,0
4,"cpu net","stress",4,9318.145586,2567.733459,1172.322537,2254.174785,5861.884646,0.010058
4,"cpu net","solo",5,2700.565538,2700.459362,2700.459362,0.106176,0,0
4,"cpu net","stress",5,9422.780884,1603.687063,-1746.641101,5159.116599,5979.185575,0
1,"cpu net","solo",1,3800.760893,3799.99253,3799.99253,0.512021,0,0
1,"cpu net","stress",1,9623.034986,3430.321862,2741.423005,1110.795145,5735.73507,0
1,"cpu net","solo",2,3809.60531,3809.331816,3809.331816,0.074322,0,0
1,"cpu net","stress",2,9724.770716,2736.414337,1386.863533,1961.685976,6339.999559,0.012594
1,"cpu net","solo",3,3792.565805,3792.375097,3792.375097,0.067807,0,0
1,"cpu net","stress",3,9468.374746,2542.67299,497.077892,3419.600582,5520.878424,0
1,"cpu net","solo",4,3855.793925,3855.671514,3855.671514,0.067407,0,0
1,"cpu net","stress",4,9309.183935,2315.511867,238.972184,3145.610267,5893.491517,0
1,"cpu net","solo",5,3862.245624,3860.515448,3860.515448,1.67955,0,0
1,"cpu net","stress",5,9400.884665,3213.445018,2392.225137,1335.579121,5643.205699,0
2,"cpu net","solo",1,2702.558396,2702.254969,2702.254969,0.211775,0,0
2,"cpu net","stress",1,9674.814053,2767.490168,656.865991,3609.328412,5378.200191,0.009638
2,"cpu net","solo",2,2690.267478,2690.097763,2690.097763,0.117257,0,0
2,"cpu net","stress",2,9366.317846,3062.367854,1832.249857,2096.981293,5406.176153,0
2,"cpu net","solo",3,2720.794642,2720.66684,2720.66684,0.066367,0,0
2,"cpu net","stress",3,9369.038247,1621.393062,-1203.851221,4588.87933,5954.065522,0.01064
2,"cpu net","solo",4,2681.815727,2681.684004,2681.684004,0.070929,0,0
2,"cpu net","stress",4,9443.382725,3051.873896,1801.426501,1925.179246,5686.780516,0
2,"cpu net","solo",5,2781.885139,2781.685654,2781.685654,0.108315,0,0
2,"cpu net","stress",5,9485.437324,2906.742772,1647.849072,2015.301198,5792.500308,0.01068
3,"cpu net","solo",1,2112.585193,2112.432885,2112.432885,0.098958,0,0
3,"cpu net","stress",1,9385.449537,2762.528869,1494.53263,1918.600362,5941.321417,0.010951
3,"cpu net","solo",2,2138.18139,2137.959424,2137.959424,0.107922,0,0
3,"cpu net","stress",2,9694.26594,3366.495676,2036.140752,2145.833294,5481.418078,0
3,"cpu net","solo",3,2111.680718,2111.513607,2111.513607,0.087521,0,0
3,"cpu net","stress",3,9355.738458,2234.193752,-209.226777,4035.961815,5498.9396,0.012514
3,"cpu net","solo",4,2120.158768,2120.030699,2120.030699,0.086261,0,0
3,"cpu net","stress",4,9410.983975,2417.089539,334.90089,3996.530027,5049.886552,0.008245
3,"cpu net","solo",5,2125.659092,2125.342481,2125.342481,0.24103,0,0
3,"cpu net","stress",5,9617.664197,1868.8654,-1506.048746,5118.872703,5973.632054,0.011161
4,"cpu net","solo",1,1768.162485,1768.086343,1768.086343,0.062236,0,0
4,"cpu net","stress",1,9466.430702,3277.26004,2547.884554,1401.629295,5486.725036,0
4,"cpu net","solo",2,1769.763681,1769.676677,1769.676677,0.062158,0,0
4,"cpu net","stress",2,9401.316871,2285.945931,199.263076,3659.909726,5512.184335,0
4,"cpu net","solo",3,1780.790207,1780.660422,1780.660422,0.09579,0,0
4,"cpu net","stress",3,9415.66998,1894.168095,-543.888598,4438.533429,5491.318102,0.011471
4,"cpu net","solo",4,1751.312569,1751.230191,1751.230191,0.082378,0,0
4,"cpu net","stress",4,9347.563565,2694.523793,1865.507245,1300.833782,6150.722556,0
4,"cpu net","solo",5,1791.959978,1790.978881,1790.978881,0.981097,0,0
4,"cpu net","stress",5,9718.925132,2276.689174,-90.618293,4107.710446,5670.153724,0
